https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1560297600000,2019-06-12 0:00:00,ADA/USDT,0.08743,0.09628,0.08576,0.09603,305886602.1,28131181.46,65127
1560211200000,2019-06-11 0:00:00,ADA/USDT,0.08502,0.08913,0.08167,0.08742,166377712.6,14285994.65,36413
1560124800000,2019-06-10 0:00:00,ADA/USDT,0.07892,0.08529,0.07773,0.08508,113293915.1,9319554.189,26589
1560038400000,2019-06-09 0:00:00,ADA/USDT,0.08356,0.08385,0.07695,0.07887,83904773.3,6717674.694,19744
1559952000000,2019-06-08 0:00:00,ADA/USDT,0.085,0.08622,0.0815,0.08356,63741558.9,5334494.345,13628
1559865600000,2019-06-07 0:00:00,ADA/USDT,0.08308,0.08702,0.08164,0.085,106111350.3,8986812.271,22555
1559779200000,2019-06-06 0:00:00,ADA/USDT,0.0826,0.08385,0.078,0.08308,135731434.7,10987279.19,26307
1559692800000,2019-06-05 0:00:00,ADA/USDT,0.08244,0.08431,0.07924,0.08252,104510674.1,8602923.189,23523
1559606400000,2019-06-04 0:00:00,ADA/USDT,0.08745,0.08832,0.07924,0.08247,265350464.3,22298659.81,48445
1559520000000,2019-06-03 0:00:00,ADA/USDT,0.09636,0.09833,0.087,0.08745,306468414.9,28486908.18,57143
1559433600000,2019-06-02 0:00:00,ADA/USDT,0.09033,0.09755,0.09013,0.0963,291630467.7,27490158.99,61543
1559347200000,2019-06-01 0:00:00,ADA/USDT,0.08906,0.0927,0.08544,0.09047,159294422.8,14227354.77,42420
1559260800000,2019-05-31 0:00:00,ADA/USDT,0.08403,0.08983,0.08132,0.08914,163350850.6,13952824.96,43986
1559174400000,2019-05-30 0:00:00,ADA/USDT,0.09082,0.0968,0.08002,0.08392,340702109.2,30763675.05,82884
1559088000000,2019-05-29 0:00:00,ADA/USDT,0.09287,0.09362,0.08539,0.09082,186809502.7,16875771.33,45228
1559001600000,2019-05-28 0:00:00,ADA/USDT,0.09035,0.09351,0.08701,0.09289,189364786.4,17073253.27,50881
1558915200000,2019-05-27 0:00:00,ADA/USDT,0.08516,0.09384,0.08442,0.09034,219214048.9,19322033.36,60243
1558828800000,2019-05-26 0:00:00,ADA/USDT,0.08008,0.08682,0.07801,0.08514,124066313.2,10220967.64,31097
1558742400000,2019-05-25 0:00:00,ADA/USDT,0.08058,0.0822,0.079,0.08006,84291267.3,6797303.037,21781
1558656000000,2019-05-24 0:00:00,ADA/USDT,0.08033,0.08315,0.07784,0.08062,134042366.2,10874704.7,39607
1558569600000,2019-05-23 0:00:00,ADA/USDT,0.07744,0.08435,0.07381,0.08034,146147282.8,11313250.18,38692
1558483200000,2019-05-22 0:00:00,ADA/USDT,0.08401,0.08541,0.07692,0.07749,133119758.9,10830609.78,40624
1558396800000,2019-05-21 0:00:00,ADA/USDT,0.08448,0.086,0.08182,0.08403,130576929.8,10971085.62,39937
1558310400000,2019-05-20 0:00:00,ADA/USDT,0.08607,0.0869,0.07924,0.08439,216348927.3,18050083.14,61204
1558224000000,2019-05-19 0:00:00,ADA/USDT,0.07873,0.088,0.07841,0.08613,249443172.4,21101089.9,64301
1558137600000,2019-05-18 0:00:00,ADA/USDT,0.08273,0.08507,0.07835,0.07872,161570720.4,13118216.52,40980
1558051200000,2019-05-17 0:00:00,ADA/USDT,0.08803,0.0908,0.0755,0.08275,358077557.1,28751546.04,79586
1557964800000,2019-05-16 0:00:00,ADA/USDT,0.0939,0.1008,0.08343,0.08802,462807356.1,42417304.88,103345
1557878400000,2019-05-15 0:00:00,ADA/USDT,0.08443,0.09535,0.083,0.0939,231427712.5,20535477.51,47986
1557792000000,2019-05-14 0:00:00,ADA/USDT,0.0727,0.08479,0.07231,0.08448,358405124.9,28240370.9,58103
1557705600000,2019-05-13 0:00:00,ADA/USDT,0.07021,0.07646,0.06947,0.0727,215072288.5,15823770.73,37753
1557619200000,2019-05-12 0:00:00,ADA/USDT,0.07389,0.07707,0.06755,0.07022,284300434,20539673.82,54154
1557532800000,2019-05-11 0:00:00,ADA/USDT,0.0632,0.07854,0.06293,0.0739,341719946.2,24538296.53,59716
1557446400000,2019-05-10 0:00:00,ADA/USDT,0.06169,0.06529,0.0591,0.06314,157842324.8,9882638.191,27479
1557360000000,2019-05-09 0:00:00,ADA/USDT,0.0647,0.06537,0.06036,0.06169,92540760.6,5775209.855,16219
1557273600000,2019-05-08 0:00:00,ADA/USDT,0.06415,0.06545,0.062,0.0647,68616747.5,4396669.599,11758
1557187200000,2019-05-07 0:00:00,ADA/USDT,0.06698,0.06882,0.0637,0.06412,92764538.2,6176099.539,16650
1557100800000,2019-05-06 0:00:00,ADA/USDT,0.06603,0.0688,0.06331,0.06696,97618341.3,6431227.666,17542
1557014400000,2019-05-05 0:00:00,ADA/USDT,0.06687,0.06816,0.0657,0.06603,53905157.5,3593855.737,10384
1556928000000,2019-05-04 0:00:00,ADA/USDT,0.06992,0.07225,0.06554,0.06687,120812727.3,8284663.484,20765
